name,value,region
China,1397897720,East Asia/Southeast Asia
India,1339330514,South Asia
United States,334998398,North America
Indonesia,275122131,East Asia/Southeast Asia
Pakistan,238181034,South Asia
Nigeria,219463862,Africa
Brazil,213445417,South America
Bangladesh,164098818,South Asia
Russia,142320790,Central Asia
Mexico,130207371,North America
Japan,124687293,East Asia/Southeast Asia
Ethiopia,110871031,Africa
Philippines,110818325,East Asia/Southeast Asia
Egypt,106437241,Africa
"Congo, Democratic Republic of the",105044646,Africa
Vietnam,102789598,East Asia/Southeast Asia
Iran,85888910,Middle East
Turkey,82482383,Middle East
Germany,79903481,Europe
Thailand,69480520,East Asia/Southeast Asia
France,68084217,Europe
United Kingdom,66052076,Europe
Italy,62390364,Europe
Tanzania,62092761,Africa
Burma,57069099,East Asia/Southeast Asia
South Africa,56978635,Africa
Kenya,54685051,Africa
"Korea, South",51715162,East Asia/Southeast Asia
Colombia,50355650,South America
Spain,47260584,Europe
Sudan,46751152,Africa
Argentina,45864941,South America
Uganda,44712143,Africa
Ukraine,43745640,Europe
Algeria,43576691,Africa
Iraq,39650145,Middle East
Poland,38185913,Europe
Canada,37943231,North America
Afghanistan,37466414,South Asia
Morocco,36561813,Africa
Saudi Arabia,34783757,Middle East
Angola,33642646,Africa
Malaysia,33519406,East Asia/Southeast Asia
Ghana,32372889,Africa
Peru,32201224,South America
Mozambique,30888034,Africa
Uzbekistan,30842796,Central Asia
Nepal,30424878,South Asia
Yemen,30399243,Middle East
Venezuela,29069153,South America
Cameroon,28524175,Africa
Cote d'Ivoire,28088455,Africa
Madagascar,27534354,Africa
"Korea, North",25831360,East Asia/Southeast Asia
Australia,25809973,Australia - Oceania
Niger,23605767,Africa
Taiwan,23572052,East Asia/Southeast Asia
Sri Lanka,23044123,South Asia
Burkina Faso,21382659,Africa
Romania,21230362,Europe
Syria,20384316,Middle East
Malawi,20308502,Africa
Mali,20137527,Africa
Kazakhstan,19245793,Central Asia
Zambia,19077816,Africa
Chile,18307925,South America
Guatemala,17422821,Central America
Chad,17414108,Africa
Netherlands,17337403,Europe
Cambodia,17304363,East Asia/Southeast Asia
Ecuador,17093159,South America
Senegal,16082442,Africa
Zimbabwe,14829988,Africa
Benin,13301694,Africa
Rwanda,12943132,Africa
Guinea,12877894,Africa
Burundi,12241065,Africa
Somalia,12094640,Africa
Tunisia,11811335,Africa
Belgium,11778842,Europe
Bolivia,11758869,South America
Haiti,11198240,Central America
Cuba,11032343,Central America
South Sudan,10984074,Africa
Jordan,10909567,Middle East
Czechia,10702596,Europe
Dominican Republic,10597348,Central America
Greece,10569703,Europe
Azerbaijan,10282283,Middle East
Portugal,10263850,Europe
Sweden,10261767,Europe
United Arab Emirates,9856612,Middle East
Hungary,9728337,Europe
Belarus,9441842,Europe
Honduras,9346277,Central America
Tajikistan,8990874,Central Asia
Austria,8884864,Europe
Israel,8787045,Middle East
Switzerland,8453550,Europe
Togo,8283189,Africa
Laos,7574356,East Asia/Southeast Asia
Papua New Guinea,7399757,East Asia/Southeast Asia
Paraguay,7272639,South America
Hong Kong,7263234,East Asia/Southeast Asia
Libya,7017224,Africa
Serbia,6974289,Europe
Bulgaria,6919180,Europe
Sierra Leone,6807277,Africa
El Salvador,6528135,Central America
Nicaragua,6243931,Central America
Eritrea,6147398,Africa
Kyrgyzstan,6018789,Central Asia
Denmark,5894687,Europe
Singapore,5866139,East Asia/Southeast Asia
Finland,5587442,Europe
Turkmenistan,5579889,Central Asia
Norway,5509591,Europe
Slovakia,5436066,Europe
"Congo, Republic of the",5417414,Africa
Central African Republic,5357984,Africa
Lebanon,5261372,Middle East
Ireland,5224884,Europe
Liberia,5214030,Africa
Costa Rica,5151140,Central America
New Zealand,4991442,Australia - Oceania
Georgia,4933674,Middle East
Croatia,4208973,Europe
Mauritania,4079284,Africa
Panama,3928646,Central America
Bosnia and Herzegovina,3824782,Europe
Oman,3694755,Middle East
Uruguay,3398239,South America
Moldova,3323875,Europe
Mongolia,3198913,East Asia/Southeast Asia
Puerto Rico,3142779,Central America
Albania,3088385,Europe
Kuwait,3032065,Middle East
Armenia,3011609,Middle East
West Bank,2949246,Middle East
Jamaica,2816602,Central America
Lithuania,2711566,Europe
Namibia,2678191,Africa
Qatar,2479995,Middle East
Botswana,2350667,Africa
Gabon,2284912,Africa
"Gambia, The",2221301,Africa
Lesotho,2177740,Africa
Slovenia,2102106,Europe
Guinea-Bissau,1976187,Africa
Gaza Strip,1957062,Middle East
Kosovo,1935259,Europe
Latvia,1862687,Europe
Bahrain,1526929,Middle East
Timor-Leste,1413958,East Asia/Southeast Asia
Mauritius,1386129,Africa
Cyprus,1281506,Europe
Trinidad and Tobago,1221047,Central America
Estonia,1220042,Europe
Eswatini,1113276,Africa
Fiji,939535,Australia - Oceania
Djibouti,938413,Africa
Comoros,864335,Africa
Bhutan,857423,South Asia
Equatorial Guinea,857008,Africa
Guyana,787971,South America
Solomon Islands,690598,Australia - Oceania
Luxembourg,639589,Europe
Macau,630396,East Asia/Southeast Asia
Suriname,614749,South America
Montenegro,607414,Europe
Cabo Verde,589451,Africa
Brunei,471103,East Asia/Southeast Asia
Malta,460891,Europe
Belize,405633,Central America
Maldives,390669,South Asia
Iceland,354234,Europe
"Bahamas, The",352655,Central America
Vanuatu,303009,Australia - Oceania
Barbados,301865,Central America
French Polynesia,297154,Australia - Oceania
New Caledonia,293608,Australia - Oceania
Sao Tome and Principe,213948,Africa
Samoa,204898,Australia - Oceania
Guam,168801,Australia - Oceania
Saint Lucia,166637,Central America
Curacao,151885,Central America
Aruba,120917,Central America
Grenada,113570,Central America
Kiribati,113001,Australia - Oceania
Virgin Islands,105870,Central America
Tonga,105780,Australia - Oceania
"Micronesia, Federated States of",101675,Australia - Oceania
Jersey,101476,Europe
Saint Vincent and the Grenadines,101145,Central America
Antigua and Barbuda,99175,Central America
Seychelles,96387,Africa
Isle of Man,90895,Europe
Andorra,85645,Europe
Marshall Islands,78831,Australia - Oceania
Dominica,74584,Central America
Bermuda,72084,North America
Guernsey,67334,Europe
Cayman Islands,63131,Central America
