name,value,region
Niger,6.91,Africa
Angola,5.9,Africa
"Congo, Democratic Republic of the",5.7,Africa
Mali,5.63,Africa
Chad,5.57,Africa
Benin,5.47,Africa
Uganda,5.45,Africa
South Sudan,5.43,Africa
Somalia,5.41,Africa
Burundi,5.1,Africa
Mozambique,4.89,Africa
Guinea,4.89,Africa
Liberia,4.84,Africa
Afghanistan,4.72,South Asia
Guinea-Bissau,4.72,Africa
Nigeria,4.67,Africa
Sudan,4.66,Africa
Zambia,4.63,Africa
Cameroon,4.61,Africa
Sierra Leone,4.58,Africa
Tanzania,4.45,Africa
"Congo, Republic of the",4.41,Africa
Burkina Faso,4.39,Africa
Timor-Leste,4.32,East Asia/Southeast Asia
Togo,4.28,Africa
Central African Republic,4.09,Africa
Ethiopia,4.07,Africa
Equatorial Guinea,4.02,Africa
Senegal,3.97,Africa
Zimbabwe,3.91,Africa
Ghana,3.71,Africa
Madagascar,3.7,Africa
Sao Tome and Principe,3.69,Africa
Eritrea,3.65,Africa
Cote d'Ivoire,3.6,Africa
Mauritania,3.59,Africa
Gaza Strip,3.54,Middle East
Pakistan,3.53,South Asia
Malawi,3.51,Africa
Rwanda,3.42,Africa
Kenya,3.36,Africa
Gabon,3.36,Africa
Iraq,3.32,Middle East
Egypt,3.23,Africa
"Gambia, The",3.13,Africa
Libya,3.13,Africa
Yemen,3.1,Middle East
Namibia,3.03,Africa
West Bank,3.02,Middle East
Jordan,3,Middle East
Lesotho,2.95,Africa
Solomon Islands,2.92,Australia - Oceania
Philippines,2.89,East Asia/Southeast Asia
Comoros,2.86,Africa
Tuvalu,2.86,Australia - Oceania
Syria,2.85,Middle East
Tonga,2.81,Australia - Oceania
Guam,2.81,Australia - Oceania
Marshall Islands,2.81,Australia - Oceania
Papua New Guinea,2.79,East Asia/Southeast Asia
Oman,2.73,Middle East
Vanuatu,2.72,Australia - Oceania
Guatemala,2.67,Central America
Belize,2.66,Central America
Northern Mariana Islands,2.66,Australia - Oceania
Nauru,2.65,Australia - Oceania
Israel,2.57,Middle East
Laos,2.57,East Asia/Southeast Asia
Algeria,2.55,Africa
Kyrgyzstan,2.52,Central Asia
Eswatini,2.48,Africa
Tajikistan,2.48,Central Asia
Haiti,2.48,Central America
Samoa,2.46,Australia - Oceania
Bolivia,2.45,South America
Botswana,2.42,Africa
Cambodia,2.36,East Asia/Southeast Asia
Faroe Islands,2.3,Europe
Morocco,2.29,Africa
Fiji,2.28,Australia - Oceania
India,2.28,South Asia
American Samoa,2.28,Australia - Oceania
"Micronesia, Federated States of",2.27,Australia - Oceania
Kuwait,2.25,Middle East
Venezuela,2.24,South America
Dominican Republic,2.23,Central America
Kiribati,2.23,Australia - Oceania
Panama,2.21,Central America
South Africa,2.2,Africa
Argentina,2.2,South America
Mexico,2.17,North America
Djibouti,2.17,Africa
Cabo Verde,2.14,Africa
Colombia,2.14,South America
Kazakhstan,2.13,Central Asia
Bangladesh,2.1,South Asia
Cook Islands,2.09,Australia - Oceania
El Salvador,2.07,Central America
Guyana,2.07,South America
Ecuador,2.07,South America
Vietnam,2.06,East Asia/Southeast Asia
Jamaica,2.06,Central America
